2020-03-19 20:34:31 status half-installed dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:31 status half-installed dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:31 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:31 status unpacked dpkg:amd64 1.19.0.5ubuntu5
2020-03-19 20:34:31 install e2fsprogs:amd64 <none> 1.44.4-2
2020-03-19 20:34:31 status half-installed e2fsprogs:amd64 1.44.4-2
2020-03-19 20:34:31 status unpacked e2fsprogs:amd64 1.44.4-2
2020-03-19 20:34:31 status unpacked e2fsprogs:amd64 1.44.4-2
2020-03-19 20:34:31 install fdisk:amd64 <none> 2.32-0.1ubuntu2
2020-03-19 20:34:31 status half-installed fdisk:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:31 status unpacked fdisk:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:31 status unpacked fdisk:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:31 install findutils:amd64 <none> 4.6.0+git+20180808-2
2020-03-19 20:34:31 status half-installed findutils:amd64 4.6.0+git+20180808-2
2020-03-19 20:34:31 status unpacked findutils:amd64 4.6.0+git+20180808-2
2020-03-19 20:34:31 status unpacked findutils:amd64 4.6.0+git+20180808-2
2020-03-19 20:34:31 install gcc-8-base:amd64 <none> 8.2.0-7ubuntu1
2020-03-19 20:34:31 status half-installed gcc-8-base:amd64 8.2.0-7ubuntu1
2020-03-19 20:34:31 status unpacked gcc-8-base:amd64 8.2.0-7ubuntu1
2020-03-19 20:34:31 status unpacked gcc-8-base:amd64 8.2.0-7ubuntu1
2020-03-19 20:34:31 install grep:amd64 <none> 3.1-2ubuntu1
2020-03-19 20:34:31 status half-installed grep:amd64 3.1-2ubuntu1
2020-03-19 20:34:31 status unpacked grep:amd64 3.1-2ubuntu1
2020-03-19 20:34:31 status unpacked grep:amd64 3.1-2ubuntu1
2020-03-19 20:34:31 install gzip:amd64 <none> 1.6-5ubuntu2
2020-03-19 20:34:31 status half-installed gzip:amd64 1.6-5ubuntu2
2020-03-19 20:34:31 status unpacked gzip:amd64 1.6-5ubuntu2
2020-03-19 20:34:31 status unpacked gzip:amd64 1.6-5ubuntu2
2020-03-19 20:34:31 install hostname:amd64 <none> 3.20
2020-03-19 20:34:31 status half-installed hostname:amd64 3.20
2020-03-19 20:34:31 status unpacked hostname:amd64 3.20
2020-03-19 20:34:31 status unpacked hostname:amd64 3.20
2020-03-19 20:34:31 install init-system-helpers:all <none> 1.54
2020-03-19 20:34:31 status half-installed init-system-helpers:all 1.54
2020-03-19 20:34:32 status unpacked init-system-helpers:all 1.54
2020-03-19 20:34:32 status unpacked init-system-helpers:all 1.54
2020-03-19 20:34:32 install libacl1:amd64 <none> 2.2.52-3build1
2020-03-19 20:34:32 status half-installed libacl1:amd64 2.2.52-3build1
2020-03-19 20:34:32 status unpacked libacl1:amd64 2.2.52-3build1
2020-03-19 20:34:32 status unpacked libacl1:amd64 2.2.52-3build1
2020-03-19 20:34:32 install libattr1:amd64 <none> 1:2.4.47-2build1
2020-03-19 20:34:32 status half-installed libattr1:amd64 1:2.4.47-2build1
2020-03-19 20:34:32 status unpacked libattr1:amd64 1:2.4.47-2build1
2020-03-19 20:34:32 status unpacked libattr1:amd64 1:2.4.47-2build1
2020-03-19 20:34:32 install libaudit-common:all <none> 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 status half-installed libaudit-common:all 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 status unpacked libaudit-common:all 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 status unpacked libaudit-common:all 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 install libaudit1:amd64 <none> 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 status half-installed libaudit1:amd64 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 status unpacked libaudit1:amd64 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 status unpacked libaudit1:amd64 1:2.8.3-1ubuntu2
2020-03-19 20:34:32 install libblkid1:amd64 <none> 2.32-0.1ubuntu2
2020-03-19 20:34:32 status half-installed libblkid1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:32 status unpacked libblkid1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:32 status unpacked libblkid1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:32 install libbz2-1.0:amd64 <none> 1.0.6-9
2020-03-19 20:34:32 status half-installed libbz2-1.0:amd64 1.0.6-9
2020-03-19 20:34:32 status unpacked libbz2-1.0:amd64 1.0.6-9
2020-03-19 20:34:32 status unpacked libbz2-1.0:amd64 1.0.6-9
2020-03-19 20:34:32 install libc-bin:amd64 <none> 2.28-0ubuntu1
2020-03-19 20:34:32 status half-installed libc-bin:amd64 2.28-0ubuntu1
2020-03-19 20:34:32 status unpacked libc-bin:amd64 2.28-0ubuntu1
2020-03-19 20:34:32 status unpacked libc-bin:amd64 2.28-0ubuntu1
2020-03-19 20:34:32 upgrade libc6:amd64 2.28-0ubuntu1 2.28-0ubuntu1
2020-03-19 20:34:32 status half-configured libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:32 status unpacked libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:32 status half-installed libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:33 status half-installed libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:33 status unpacked libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:33 status unpacked libc6:amd64 2.28-0ubuntu1
2020-03-19 20:34:33 install libcap-ng0:amd64 <none> 0.7.9-1
2020-03-19 20:34:33 status half-installed libcap-ng0:amd64 0.7.9-1
2020-03-19 20:34:33 status unpacked libcap-ng0:amd64 0.7.9-1
2020-03-19 20:34:33 status unpacked libcap-ng0:amd64 0.7.9-1
2020-03-19 20:34:33 install libcom-err2:amd64 <none> 1.44.4-2
2020-03-19 20:34:33 status half-installed libcom-err2:amd64 1.44.4-2
